126232957	1612323470322	{"acc":0,"vals":[-0.506401,-0.216878,-0.647399]}
126232962	1612323470327	{"acc":0,"vals":[-0.001985,-3.0E-4,-0.003184]}
126232968	1612323470333	{"acc":0,"vals":[-0.001985,-3.0E-4,-0.003184]}
126232973	1612323470338	{"acc":0,"vals":[-0.001985,-3.0E-4,-0.003184]}
126232978	1612323470343	{"acc":0,"vals":[-0.001985,-3.0E-4,-0.003184]}
126232983	1612323470347	{"acc":0,"vals":[0.001509,-0.001718,0.004224]}
126232988	1612323470352	{"acc":0,"vals":[0.001509,-0.001718,0.004224]}
126232993	1612323470357	{"acc":0,"vals":[0.001509,-0.001718,0.004224]}
126232998	1612323470362	{"acc":0,"vals":[0.001509,-0.001718,0.004224]}
126233004	1612323470369	{"acc":0,"vals":[-0.003428,-0.003507,0.001034]}
126233009	1612323470374	{"acc":0,"vals":[-0.003428,-0.003507,0.001034]}
126233014	1612323470378	{"acc":0,"vals":[-0.003428,-0.003507,0.001034]}
126233019	1612323470383	{"acc":0,"vals":[-0.003428,-0.003507,0.001034]}
126233024	1612323470388	{"acc":0,"vals":[-7.88E-4,-0.00374,-0.003895]}
126233029	1612323470393	{"acc":0,"vals":[-7.88E-4,-0.00374,-0.003895]}
126233034	1612323470399	{"acc":0,"vals":[-7.88E-4,-0.00374,-0.003895]}
126233039	1612323470404	{"acc":0,"vals":[-7.88E-4,-0.00374,-0.003895]}
126233045	1612323470409	{"acc":0,"vals":[-2.17E-4,0.004822,-0.002324]}
126233050	1612323470414	{"acc":0,"vals":[-2.17E-4,0.004822,-0.002324]}
126233055	1612323470420	{"acc":0,"vals":[-2.17E-4,0.004822,-0.002324]}
126233060	1612323470425	{"acc":0,"vals":[-2.17E-4,0.004822,-0.002324]}
126233065	1612323470429	{"acc":0,"vals":[-0.001451,0.003697,-0.001745]}
126233070	1612323470434	{"acc":0,"vals":[-0.001451,0.003697,-0.001745]}
126233075	1612323470439	{"acc":0,"vals":[-0.001451,0.003697,-0.001745]}
